Year,League,FranchiseID,name,Division,W,L,DivWin,WCWin,LgWin,WSWin,R,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,Playoffs,Win %
1998,AL,TBD,Tampa Bay Devil Rays,E,63,99,N,N,N,N,620,1450,267,43,111,473.0,1107.0,120.0,73.0,37.0,38.0,751,4.35,7,7,28,1425,171,643,1008,94,178,0.985,0,0.389
1998,AL,TEX,Texas Rangers,W,88,74,Y,N,N,N,940,1637,314,32,201,595.0,1045.0,82.0,47.0,39.0,54.0,871,4.99,10,8,46,1624,164,519,994,121,140,0.98,1,0.543
1998,AL,TOR,Toronto Blue Jays,E,88,74,N,N,N,N,816,1482,316,19,221,564.0,1132.0,184.0,81.0,87.0,49.0,768,4.28,10,11,47,1443,169,587,1154,125,131,0.979,0,0.543
1999,AL,ANA,Anaheim Angels,W,70,92,N,N,N,N,711,1404,248,22,158,511.0,1022.0,71.0,45.0,43.0,42.0,826,4.79,4,7,37,1472,177,624,877,106,156,0.983,0,0.432
1999,NL,ARI,Arizona Diamondbacks,W,100,62,Y,N,N,N,908,1566,289,46,216,588.0,1045.0,137.0,39.0,48.0,60.0,676,3.77,16,9,42,1387,176,543,1198,104,132,0.983,1,0.617
1999,NL,ATL,Atlanta Braves,E,103,59,Y,N,Y,N,840,1481,309,23,197,608.0,962.0,148.0,66.0,53.0,47.0,661,3.63,9,9,45,1398,142,507,1197,111,127,0.982,1,0.636
1999,AL,BAL,Baltimore Orioles,E,78,84,N,N,N,N,851,1572,299,21,203,615.0,890.0,107.0,46.0,61.0,55.0,815,4.77,17,11,33,1468,198,647,982,89,191,0.986,0,0.481
1999,AL,BOS,Boston Red Sox,E,94,68,N,Y,N,N,836,1551,334,42,176,597.0,928.0,67.0,39.0,55.0,56.0,718,4.0,6,12,50,1396,160,469,1131,127,132,0.979,1,0.58
1999,AL,CHW,Chicago White Sox,C,75,86,N,N,N,N,777,1563,298,37,162,499.0,810.0,110.0,50.0,34.0,45.0,870,4.92,6,3,39,1608,210,596,968,136,149,0.977,0,0.466
1999,NL,CHC,Chicago Cubs,C,67,95,N,N,N,N,747,1411,255,35,189,571.0,1170.0,60.0,44.0,39.0,44.0,920,5.27,11,6,32,1619,221,529,980,139,135,0.977,0,0.414
1999,NL,CIN,Cincinnati Reds,C,96,67,N,N,N,N,865,1536,312,37,209,569.0,1125.0,164.0,54.0,45.0,44.0,711,3.98,6,11,55,1309,190,636,1081,105,139,0.983,0,0.589
1999,AL,CLE,Cleveland Indians,C,97,65,Y,N,N,N,1009,1629,309,32,209,743.0,1099.0,147.0,50.0,55.0,67.0,860,4.89,3,6,46,1503,197,634,1120,106,154,0.983,1,0.599
1999,NL,COL,Colorado Rockies,W,72,90,N,N,N,N,906,1644,305,39,223,508.0,863.0,70.0,43.0,43.0,46.0,1028,6.01,12,2,33,1700,237,737,1032,118,189,0.981,0,0.444
1999,AL,DET,Detroit Tigers,C,69,92,N,N,N,N,747,1433,289,34,212,458.0,1049.0,108.0,70.0,82.0,39.0,882,5.17,4,6,33,1528,209,583,976,106,156,0.982,0,0.429
1999,NL,FLA,Florida Marlins,E,64,98,N,N,N,N,691,1465,266,44,128,479.0,1145.0,92.0,46.0,59.0,56.0,852,4.9,6,5,33,1560,171,655,943,127,150,0.979,0,0.395
1999,NL,HOU,Houston Astros,C,97,65,Y,N,N,N,823,1463,293,23,168,728.0,1138.0,166.0,75.0,52.0,58.0,675,3.83,12,8,48,1485,128,478,1204,106,175,0.983,1,0.599
